shock_type,shock_point,policy,n,p_hard,success_rate_pre_shock,success_rate_post_shock,success_rate_overall,success_rate_drop,recovery_time,recovery_status,deadlock_rate,worst_rolling_window,avg_latency_ms,total_cost,cost_per_correct,choose_A,choose_B,choose_C,choose_D,choose_E,choose_F,choose_G,choose_H,choose_I,choose_J,choose_A_pre,choose_B_pre,choose_C_pre,choose_D_pre,choose_E_pre,choose_F_pre,choose_G_pre,choose_H_pre,choose_I_pre,choose_J_pre,choose_A_post,choose_B_post,choose_C_post,choose_D_post,choose_E_post,choose_F_post,choose_G_post,choose_H_post,choose_I_post,choose_J_post
A_degraded,50,static_rule,100,0.56,0.54,0.58,0.56,-0.039999999999999925,0,Recovered,0.04,0.3333333333333333,3580.4000425338745,9.99999999999998,0.17857142857142821,56,44,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,0,0,0,29,21,0,0,0,0,0,0,0,0
A_degraded,50,random,100,0.56,0.6,0.58,0.59,0.020000000000000018,0,Recovered,0.06,0.0,2146.1207509040833,27.500000000000018,0.46610169491525455,6,13,11,8,8,12,13,8,13,8,5,8,4,5,6,6,5,4,3,4,1,5,7,3,2,6,8,4,10,4
A_degraded,50,random_topL,100,0.56,0.74,0.7,0.72,0.040000000000000036,0,Recovered,0.02,0.62,1448.942472934723,40.700000000000045,0.5652777777777784,14,0,0,19,18,19,0,16,14,0,7,0,0,8,9,10,0,7,9,0,7,0,0,11,9,9,0,9,5,0
A_degraded,50,linucb,100,0.56,0.84,0.9,0.87,-0.06000000000000005,0,Recovered,0.0,0.0,1668.8033294677734,39.600000000000065,0.4551724137931042,44,0,0,24,32,0,0,0,0,0,23,0,0,15,12,0,0,0,0,0,21,0,0,9,20,0,0,0,0,0
A_degraded,50,linucb_frozen,100,0.56,0.86,0.72,0.79,0.14,0,Recovered,0.02,0.0,1957.9741048812866,52.600000000000044,0.6658227848101271,44,0,0,44,12,0,0,0,0,0,23,0,0,15,12,0,0,0,0,0,21,0,0,29,0,0,0,0,0,0
