t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,linucb_frozen,hard,A,0.95,0.3,938.6695969260243,1.0,1,0,1.0,1.0
1,linucb_frozen,hard,A,0.95,0.5640000000000001,1410.21959775382,1.0,1,0,1.0,1.0
2,linucb_frozen,hard,A,0.95,0.79632,1422.9667028014562,1.0,1,0,1.0,1.0
3,linucb_frozen,hard,A,0.95,1.0,1383.6534703356356,1.0,1,0,1.0,1.0
4,linucb_frozen,simple,A,0.8,1.0,1895.9864649656581,1.0,1,0,1.0,1.0
5,linucb_frozen,hard,C,0.75,0.3,468.7815657114713,0.35,0,0,0.8333333333333334,0.0
6,linucb_frozen,simple,A,0.8,1.0,1678.187675350267,1.0,1,0,0.8571428571428571,1.0
7,linucb_frozen,hard,A,0.95,1.0,1766.2984065408855,1.0,1,0,0.875,1.0
8,linucb_frozen,hard,E,0.9,0.3,775.2872138757729,0.6,0,0,0.7777777777777778,0.0
9,linucb_frozen,hard,A,0.95,1.0,1627.7239295773395,1.0,1,0,0.8,1.0
10,linucb_frozen,hard,A,0.95,1.0,1960.9298159935508,1.0,1,0,0.8181818181818182,1.0
11,linucb_frozen,hard,A,0.95,1.0,2025.6623055235968,1.0,1,0,0.8333333333333334,1.0
12,linucb_frozen,hard,A,0.95,1.0,1821.7691526322521,1.0,1,0,0.8461538461538461,1.0
13,linucb_frozen,hard,C,0.75,0.40789035744165886,593.4184083519347,0.35,0,0,0.7857142857142857,0.0
14,linucb_frozen,hard,A,0.95,1.0,1599.995373050882,1.0,1,0,0.8,1.0
15,linucb_frozen,hard,A,0.95,1.0,1822.5133888377172,1.0,1,0,0.8125,1.0
16,linucb_frozen,hard,A,0.95,1.0,1785.8969576457473,1.0,1,0,0.8235294117647058,1.0
17,linucb_frozen,hard,A,0.95,1.0,1862.9076294616023,1.0,1,0,0.8333333333333334,1.0
18,linucb_frozen,simple,B,0.95,0.3,331.9516177477288,0.1,1,0,0.8421052631578947,1.0
19,linucb_frozen,hard,E,0.9,0.3735242576664822,878.7366578556779,0.6,0,0,0.8,0.0
20,linucb_frozen,simple,D,0.85,0.3,446.83235986349695,0.22,1,0,0.8095238095238095,1.0
21,linucb_frozen,hard,A,0.95,0.8996953599999999,1878.606617915376,1.0,1,0,0.8181818181818182,1.0
22,linucb_frozen,hard,A,0.95,1.0,1720.544741135187,1.0,1,0,0.8260869565217391,1.0
23,linucb_frozen,hard,A,0.95,1.0,2053.702427432065,1.0,1,0,0.8333333333333334,1.0
24,linucb_frozen,simple,A,0.8,1.0,1975.5206524513585,1.0,1,0,0.84,1.0
25,linucb_frozen,hard,C,0.75,0.3879701848379612,634.4711686054635,0.35,0,0,0.8076923076923077,0.0
26,linucb_frozen,hard,A,0.95,1.0,1517.1678612197697,1.0,1,0,0.8148148148148148,1.0
27,linucb_frozen,hard,A,0.95,1.0,1699.7443987667607,1.0,1,0,0.8214285714285714,1.0
28,linucb_frozen,simple,A,0.8,1.0,2053.84809457141,1.0,0,0,0.7931034482758621,0.0
29,linucb_frozen,hard,A,0.95,1.0,2013.8297884439771,1.0,1,0,0.8,1.0
30,linucb_frozen,simple,B,0.95,0.3647013467465043,393.5788700366307,0.1,1,0,0.8064516129032258,1.0
31,linucb_frozen,simple,B,0.95,0.6209371851369238,461.72676766740034,0.1,1,0,0.8125,1.0
32,linucb_frozen,hard,E,0.9,0.3708913993729617,956.1300098075204,0.6,0,0,0.7878787878787878,0.0
33,linucb_frozen,simple,B,0.95,0.7808537561700337,550.1732561229086,0.1,1,0,0.7941176470588235,1.0
34,linucb_frozen,hard,A,0.95,0.8277319167999999,1392.3573516183628,1.0,1,0,0.8,1.0
35,linucb_frozen,hard,C,0.75,0.4080500751399203,583.1896935018916,0.35,0,0,0.7777777777777778,0.0
36,linucb_frozen,simple,B,0.95,0.8321299709247052,583.9260905598472,0.1,1,0,0.7837837837837838,1.0
37,linucb_frozen,hard,A,0.95,0.8640761248055295,1490.1509930912746,1.0,1,0,0.7894736842105263,1.0
38,linucb_frozen,simple,B,0.95,0.9444014494840918,496.7274343211497,0.1,1,0,0.7948717948717948,1.0
39,linucb_frozen,hard,A,0.95,0.969140551049402,1649.2822402908084,1.0,1,0,0.8,1.0
40,linucb_frozen,simple,B,0.95,1.0,582.2694534010682,0.1,1,0,0.8048780487804879,1.0
41,linucb_frozen,hard,A,0.95,1.0,1957.5598793704496,1.0,1,0,0.8095238095238095,1.0
42,linucb_frozen,hard,A,0.95,1.0,1796.2951586782842,1.0,1,0,0.813953488372093,1.0
43,linucb_frozen,hard,A,0.95,1.0,1738.4376164016383,1.0,1,0,0.8181818181818182,1.0
44,linucb_frozen,hard,A,0.95,1.0,1936.1928155031424,1.0,1,0,0.8222222222222222,1.0
45,linucb_frozen,hard,A,0.95,1.0,2020.9796846943873,1.0,1,0,0.8260869565217391,1.0
46,linucb_frozen,hard,A,0.95,1.0,1960.3365865824067,1.0,1,0,0.8297872340425532,1.0
47,linucb_frozen,hard,C,0.75,0.3880046313385504,592.6569458738892,0.35,0,0,0.8125,0.0
48,linucb_frozen,hard,A,0.95,1.0,1684.8987371033822,1.0,1,0,0.8163265306122449,1.0
49,linucb_frozen,hard,A,0.95,1.0,2000.2429310686452,1.0,1,0,0.82,1.0
50,linucb_frozen,hard,A,0.95,1.0,1852.0741668702583,1.0,1,0,0.82,1.0
51,linucb_frozen,hard,A,0.95,1.0,1945.2126949660956,1.0,1,0,0.82,1.0
