t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,static_rule,hard,A,0.95,0.3,900.2073294450854,1.0,1,0,1.0,0.0
1,static_rule,hard,A,0.95,0.5640000000000001,1273.9329851968605,1.0,1,0,1.0,0.0
2,static_rule,hard,A,0.95,0.79632,1044.5948235701167,1.0,1,0,1.0,0.0
3,static_rule,hard,A,0.95,1.0,1687.236379558315,1.0,1,0,1.0,0.0
4,static_rule,simple,B,0.95,0.3,368.6205835184106,0.1,1,0,1.0,0.0
5,static_rule,hard,A,0.95,1.0,1907.9385060071504,1.0,1,0,1.0,0.0
6,static_rule,simple,B,0.95,0.53232,433.6396488815186,0.1,1,0,1.0,0.0
7,static_rule,hard,A,0.95,1.0,2013.6980925723506,1.0,1,0,1.0,0.0
8,static_rule,hard,A,0.95,1.0,1986.8880262495768,1.0,1,0,1.0,0.0
9,static_rule,hard,A,0.95,1.0,1659.8837391619845,1.0,1,0,1.0,0.0
10,static_rule,hard,A,0.95,1.0,1858.3683098755223,1.0,1,0,1.0,0.0
11,static_rule,hard,A,0.95,1.0,1750.9420169207099,1.0,1,0,1.0,0.0
12,static_rule,hard,A,0.95,1.0,2033.2569843225192,1.0,1,0,1.0,0.0
13,static_rule,hard,A,0.95,1.0,1820.7252293334518,1.0,1,0,1.0,0.0
14,static_rule,hard,A,0.95,1.0,2180.92145752464,1.0,1,0,1.0,0.0
15,static_rule,hard,A,0.95,1.0,1788.8889509793482,1.0,1,0,1.0,0.0
16,static_rule,hard,A,0.95,1.0,2067.931396333112,1.0,1,0,1.0,0.0
17,static_rule,hard,A,0.95,1.0,1916.0995977689295,1.0,1,0,1.0,0.0
18,static_rule,simple,B,0.95,0.4148060696669972,385.6558451058435,0.1,1,0,1.0,0.0
19,static_rule,hard,A,0.95,1.0,1690.173625009682,1.0,1,0,1.0,0.0
20,static_rule,simple,B,0.95,0.6212258203501226,481.5773965540178,0.1,1,0,1.0,0.0
21,static_rule,hard,A,0.95,1.0,1694.2168421559763,1.0,1,0,1.0,0.0
22,static_rule,hard,A,0.95,1.0,1778.2279070504094,1.0,1,0,1.0,0.0
23,static_rule,hard,A,0.95,1.0,1680.5599668835227,1.0,1,0,1.0,0.0
24,static_rule,simple,B,0.95,0.6725462419761622,509.169316334904,0.1,1,0,1.0,0.0
25,static_rule,hard,A,0.95,1.0,1583.6972058635574,1.0,1,0,1.0,0.0
26,static_rule,hard,A,0.95,1.0,2175.366052211765,1.0,1,0,1.0,0.0
27,static_rule,hard,A,0.95,1.0,1945.7606554555202,1.0,1,0,1.0,0.0
28,static_rule,simple,B,0.95,0.7033228606985418,474.9071325982822,0.1,0,0,0.9655172413793104,0.0
29,static_rule,hard,A,0.95,1.0,1697.1516866612026,1.0,1,0,0.9666666666666667,0.0
30,static_rule,simple,B,0.95,0.8446532233249506,567.9160930228616,0.1,0,0,0.9354838709677419,0.0
31,static_rule,simple,B,0.95,1.0,711.84089060218,0.1,1,0,0.9375,0.0
32,static_rule,hard,A,0.95,0.9814719999999999,1540.1586282563287,1.0,1,0,0.9393939393939394,0.0
33,static_rule,simple,B,0.95,1.0,705.7485041844224,0.1,1,0,0.9411764705882353,0.0
34,static_rule,hard,A,0.95,1.0,2051.501790132902,1.0,1,0,0.9428571428571428,0.0
35,static_rule,hard,A,0.95,1.0,1842.7119238124928,1.0,1,0,0.9444444444444444,0.0
36,static_rule,simple,B,0.95,0.9814719999999999,618.9613386019807,0.1,1,0,0.9459459459459459,0.0
37,static_rule,hard,A,0.95,1.0,1813.8028385522537,1.0,1,0,0.9473684210526315,0.0
38,static_rule,simple,B,0.95,1.0,709.9169117077951,0.1,1,0,0.9487179487179487,0.0
39,static_rule,hard,A,0.95,1.0,1668.8700078719007,1.0,1,0,0.95,0.0
40,static_rule,simple,B,0.95,1.0,636.9643076650734,0.1,1,0,0.9512195121951219,0.0
41,static_rule,hard,A,0.95,1.0,1861.2684319388673,1.0,1,0,0.9523809523809523,0.0
42,static_rule,hard,A,0.95,1.0,2026.3636071662768,1.0,1,0,0.9534883720930233,0.0
