t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,linucb_frozen,hard,C,0.75,0.3,573.6314203436815,0.35,0,0,0.0,0.0
1,linucb_frozen,hard,C,0.75,0.5640000000000001,861.8008652940011,0.35,0,0,0.0,0.0
2,linucb_frozen,hard,C,0.75,0.79632,869.5907628231122,0.35,1,0,0.3333333333333333,1.0
3,linucb_frozen,hard,C,0.75,1.0,845.5660096495551,0.35,0,0,0.25,0.0
4,linucb_frozen,simple,B,0.95,0.3,358.62260199847617,0.1,0,0,0.2,0.0
5,linucb_frozen,hard,C,0.75,1.0,904.4108990958273,0.35,0,0,0.16666666666666666,0.0
6,linucb_frozen,simple,A,0.8,0.3,869.8517972250099,1.0,0,0,0.14285714285714285,0.0
7,linucb_frozen,hard,C,0.75,1.0,1012.8762993807608,0.35,0,0,0.125,0.0
8,linucb_frozen,hard,C,0.75,1.0,1123.9676685265692,0.35,0,0,0.1111111111111111,0.0
9,linucb_frozen,hard,D,0.55,0.3,393.72434300330957,0.22,0,0,0.1,0.0
10,linucb_frozen,hard,E,0.9,0.3,826.5916863786044,0.6,0,0,0.09090909090909091,0.0
11,linucb_frozen,hard,C,0.75,0.9814719999999999,1094.4657815607602,0.35,0,0,0.08333333333333333,0.0
12,linucb_frozen,hard,C,0.75,1.0,1102.7088122928446,0.35,0,0,0.07692307692307693,0.0
13,linucb_frozen,hard,C,0.75,1.0,1080.21456494133,0.35,0,0,0.07142857142857142,0.0
14,linucb_frozen,hard,C,0.75,1.0,1041.997687016191,0.35,0,0,0.06666666666666667,0.0
15,linucb_frozen,hard,D,0.55,0.43932122603519996,482.83002724289554,0.22,0,0,0.0625,0.0
16,linucb_frozen,hard,C,0.75,1.0,1024.1150050506556,0.35,0,0,0.058823529411764705,0.0
17,linucb_frozen,hard,C,0.75,1.0,1138.4435513376457,0.35,0,0,0.05555555555555555,0.0
18,linucb_frozen,simple,B,0.95,0.35010472292049294,351.91043034404004,0.1,1,0,0.10526315789473684,1.0
19,linucb_frozen,hard,E,0.9,0.39494351454865984,899.4917206055477,0.6,0,0,0.1,0.0
20,linucb_frozen,simple,A,0.8,0.35010472292049294,1015.0681152063034,1.0,0,0,0.09523809523809523,0.0
21,linucb_frozen,hard,D,0.55,0.5040225727817044,634.6225890191611,0.22,0,0,0.09090909090909091,0.0
22,linucb_frozen,hard,D,0.55,0.7435398640478998,630.8842984486724,0.22,0,0,0.08695652173913043,0.0
23,linucb_frozen,hard,D,0.55,0.9543150803621518,832.1521443036245,0.22,1,0,0.125,1.0
24,linucb_frozen,simple,B,0.95,0.4625900641266568,446.5716822176437,0.1,1,0,0.16,1.0
25,linucb_frozen,hard,D,0.55,1.0,826.8873543369745,0.22,0,0,0.15384615384615385,0.0
26,linucb_frozen,hard,D,0.55,1.0,754.5156693576507,0.22,0,0,0.14814814814814814,0.0
27,linucb_frozen,hard,D,0.55,1.0,793.2140527578216,0.22,1,0,0.17857142857142858,1.0
28,linucb_frozen,simple,B,0.95,0.5774131150388586,517.8058150385314,0.1,0,0,0.1724137931034483,0.0
29,linucb_frozen,hard,C,0.75,0.515671155821681,753.4916139166689,0.35,0,0,0.16666666666666666,0.0
30,linucb_frozen,simple,A,0.8,0.39750450703885853,1049.0281951236934,1.0,0,0,0.16129032258064516,0.0
31,linucb_frozen,simple,B,0.95,0.693490870331761,490.7494083840389,0.1,1,0,0.1875,1.0
