phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,medical_qa_0,agent-openrouter-deepseek-v3-006,0,0,1,0.0
cold_start,medical_qa_1,agent-openrouter-deepseek-v3-007,0,0,1,0.0
cold_start,medical_qa_2,agent-openrouter-deepseek-v3-008,0,1,1,0.3333333333333333
cold_start,medical_qa_3,agent-openrouter-deepseek-v3-009,0,0,1,0.25
cold_start,medical_qa_4,agent-openrouter-deepseek-v3-010,0,0,1,0.2
cold_start,medical_qa_5,agent-openrouter-deepseek-v3-006,0,1,1,0.3333333333333333
cold_start,medical_qa_6,agent-openrouter-deepseek-v3-007,0,0,1,0.2857142857142857
cold_start,medical_qa_7,agent-openrouter-deepseek-v3-008,0,1,1,0.375
cold_start,medical_qa_8,agent-openrouter-deepseek-v3-009,0,0,1,0.3333333333333333
cold_start,medical_qa_9,agent-openrouter-deepseek-v3-010,0,0,1,0.3
cold_start,medical_qa_10,agent-openrouter-deepseek-v3-006,0,0,1,0.2727272727272727
cold_start,medical_qa_11,agent-openrouter-deepseek-v3-007,0,0,1,0.25
cold_start,medical_qa_12,agent-openrouter-deepseek-v3-008,0,0,1,0.23076923076923078
cold_start,medical_qa_13,agent-openrouter-deepseek-v3-009,0,0,1,0.21428571428571427
cold_start,medical_qa_14,agent-openrouter-deepseek-v3-010,0,0,1,0.2
cold_start,medical_qa_15,agent-openrouter-deepseek-v3-006,0,1,1,0.25
cold_start,medical_qa_16,agent-openrouter-deepseek-v3-007,0,1,1,0.29411764705882354
cold_start,medical_qa_17,agent-openrouter-deepseek-v3-008,0,1,1,0.3333333333333333
cold_start,medical_qa_18,agent-openrouter-deepseek-v3-009,0,0,1,0.3157894736842105
cold_start,medical_qa_19,agent-openrouter-deepseek-v3-010,0,1,1,0.35
cold_start,medical_qa_20,agent-openrouter-deepseek-v3-006,0,0,1,0.3333333333333333
cold_start,medical_qa_21,agent-openrouter-deepseek-v3-007,0,0,1,0.3181818181818182
cold_start,medical_qa_22,agent-openrouter-deepseek-v3-008,0,1,1,0.34782608695652173
cold_start,medical_qa_23,agent-openrouter-deepseek-v3-009,0,0,1,0.3333333333333333
cold_start,medical_qa_24,agent-openrouter-deepseek-v3-010,0,0,1,0.32
cold_start,medical_qa_25,agent-openrouter-deepseek-v3-006,0,0,1,0.3076923076923077
cold_start,medical_qa_26,agent-openrouter-deepseek-v3-007,0,1,1,0.3333333333333333
cold_start,medical_qa_27,agent-openrouter-deepseek-v3-008,0,0,1,0.32142857142857145
cold_start,medical_qa_28,agent-openrouter-deepseek-v3-009,0,0,1,0.3103448275862069
cold_start,medical_qa_29,agent-openrouter-deepseek-v3-010,0,1,1,0.3333333333333333
cold_start,medical_qa_30,agent-openrouter-deepseek-v3-006,0,1,1,0.3548387096774194
cold_start,medical_qa_31,agent-openrouter-deepseek-v3-007,0,0,1,0.34375
cold_start,medical_qa_32,agent-openrouter-deepseek-v3-008,0,0,1,0.3333333333333333
cold_start,medical_qa_33,agent-openrouter-deepseek-v3-009,0,0,1,0.3235294117647059
cold_start,medical_qa_34,agent-openrouter-deepseek-v3-010,0,0,1,0.3142857142857143
cold_start,medical_qa_35,agent-openrouter-deepseek-v3-006,0,1,1,0.3333333333333333
cold_start,medical_qa_36,agent-openrouter-deepseek-v3-007,0,0,1,0.32432432432432434
cold_start,medical_qa_37,agent-openrouter-deepseek-v3-008,0,0,1,0.3157894736842105
cold_start,medical_qa_38,agent-openrouter-deepseek-v3-009,0,0,1,0.3076923076923077
cold_start,medical_qa_39,agent-openrouter-deepseek-v3-010,0,1,1,0.325
cold_start,medical_qa_40,agent-openrouter-deepseek-v3-006,0,1,1,0.34146341463414637
cold_start,medical_qa_41,agent-openrouter-deepseek-v3-007,0,0,1,0.3333333333333333
cold_start,medical_qa_42,agent-openrouter-deepseek-v3-008,0,1,1,0.3488372093023256
cold_start,medical_qa_43,agent-openrouter-deepseek-v3-009,0,0,1,0.3409090909090909
cold_start,medical_qa_44,agent-openrouter-deepseek-v3-010,0,0,1,0.3333333333333333
cold_start,medical_qa_45,agent-openrouter-deepseek-v3-006,0,0,1,0.32608695652173914
cold_start,medical_qa_46,agent-openrouter-deepseek-v3-007,0,0,1,0.3191489361702128
cold_start,medical_qa_47,agent-openrouter-deepseek-v3-008,0,0,1,0.3125
cold_start,medical_qa_48,agent-openrouter-deepseek-v3-009,0,1,1,0.32653061224489793
cold_start,medical_qa_49,agent-openrouter-deepseek-v3-010,0,1,1,0.34
cold_start,medical_qa_50,agent-openrouter-deepseek-v3-006,0,0,1,0.3333333333333333
cold_start,medical_qa_51,agent-openrouter-deepseek-v3-007,0,1,1,0.34615384615384615
cold_start,medical_qa_52,agent-openrouter-deepseek-v3-008,0,0,1,0.33962264150943394
cold_start,medical_qa_53,agent-openrouter-deepseek-v3-009,0,0,1,0.3333333333333333
cold_start,medical_qa_54,agent-openrouter-deepseek-v3-010,0,1,1,0.34545454545454546
cold_start,medical_qa_55,agent-openrouter-deepseek-v3-006,0,1,1,0.35714285714285715
cold_start,medical_qa_56,agent-openrouter-deepseek-v3-007,0,0,1,0.3508771929824561
cold_start,medical_qa_57,agent-openrouter-deepseek-v3-008,0,0,1,0.3448275862068966
cold_start,medical_qa_58,agent-openrouter-deepseek-v3-009,0,1,1,0.3559322033898305
cold_start,medical_qa_59,agent-openrouter-deepseek-v3-010,0,0,1,0.35
cold_start,medical_qa_60,agent-openrouter-deepseek-v3-006,0,1,1,0.36065573770491804
cold_start,medical_qa_61,agent-openrouter-deepseek-v3-007,0,1,1,0.3709677419354839
cold_start,medical_qa_62,agent-openrouter-deepseek-v3-008,0,0,1,0.36507936507936506
cold_start,medical_qa_63,agent-openrouter-deepseek-v3-009,0,1,1,0.375
cold_start,medical_qa_64,agent-openrouter-deepseek-v3-010,0,0,1,0.36923076923076925
cold_start,medical_qa_65,agent-openrouter-deepseek-v3-006,0,1,1,0.3787878787878788
cold_start,medical_qa_66,agent-openrouter-deepseek-v3-007,0,1,1,0.3880597014925373
cold_start,medical_qa_67,agent-openrouter-deepseek-v3-008,0,0,1,0.38235294117647056
cold_start,medical_qa_68,agent-openrouter-deepseek-v3-009,0,1,1,0.391304347826087
cold_start,medical_qa_69,agent-openrouter-deepseek-v3-010,0,0,1,0.38571428571428573
cold_start,medical_qa_70,agent-openrouter-deepseek-v3-006,0,0,1,0.38028169014084506
cold_start,medical_qa_71,agent-openrouter-deepseek-v3-007,0,1,1,0.3888888888888889
cold_start,medical_qa_72,agent-openrouter-deepseek-v3-008,0,0,1,0.3835616438356164
cold_start,medical_qa_73,agent-openrouter-deepseek-v3-009,0,1,1,0.3918918918918919
cold_start,medical_qa_74,agent-openrouter-deepseek-v3-010,0,1,1,0.4
cold_start,medical_qa_75,agent-openrouter-deepseek-v3-006,0,1,1,0.40789473684210525
cold_start,medical_qa_76,agent-openrouter-deepseek-v3-007,0,1,1,0.4155844155844156
cold_start,medical_qa_77,agent-openrouter-deepseek-v3-008,0,0,1,0.41025641025641024
cold_start,medical_qa_78,agent-openrouter-deepseek-v3-009,0,1,1,0.4177215189873418
cold_start,medical_qa_79,agent-openrouter-deepseek-v3-010,0,0,1,0.4125
cold_start,medical_qa_80,agent-openrouter-deepseek-v3-006,0,0,1,0.4074074074074074
cold_start,medical_qa_81,agent-openrouter-deepseek-v3-007,0,0,1,0.4024390243902439
cold_start,medical_qa_82,agent-openrouter-deepseek-v3-008,0,0,1,0.39759036144578314
cold_start,medical_qa_83,agent-openrouter-deepseek-v3-009,0,0,1,0.39285714285714285
cold_start,medical_qa_84,agent-openrouter-deepseek-v3-010,0,1,1,0.4
cold_start,medical_qa_85,agent-openrouter-deepseek-v3-006,0,1,1,0.4069767441860465
cold_start,medical_qa_86,agent-openrouter-deepseek-v3-007,0,1,1,0.41379310344827586
cold_start,medical_qa_87,agent-openrouter-deepseek-v3-008,0,1,1,0.42045454545454547
cold_start,medical_qa_88,agent-openrouter-deepseek-v3-009,0,1,1,0.42696629213483145
cold_start,medical_qa_89,agent-openrouter-deepseek-v3-010,0,1,1,0.43333333333333335
cold_start,medical_qa_90,agent-openrouter-deepseek-v3-006,0,0,1,0.42857142857142855
cold_start,medical_qa_91,agent-openrouter-deepseek-v3-007,0,0,1,0.42391304347826086
cold_start,medical_qa_92,agent-openrouter-deepseek-v3-008,0,1,1,0.43010752688172044
cold_start,medical_qa_93,agent-openrouter-deepseek-v3-009,0,0,1,0.425531914893617
cold_start,medical_qa_94,agent-openrouter-deepseek-v3-010,0,0,1,0.42105263157894735
cold_start,medical_qa_95,agent-openrouter-deepseek-v3-006,0,1,1,0.4270833333333333
cold_start,medical_qa_96,agent-openrouter-deepseek-v3-007,0,1,1,0.4329896907216495
cold_start,medical_qa_97,agent-openrouter-deepseek-v3-008,0,1,1,0.4387755102040816
cold_start,medical_qa_98,agent-openrouter-deepseek-v3-009,0,0,1,0.43434343434343436
cold_start,medical_qa_99,agent-openrouter-deepseek-v3-010,0,0,1,0.43
cold_start,medical_qa_100,agent-openrouter-deepseek-v3-006,0,0,1,0.42574257425742573
cold_start,medical_qa_101,agent-openrouter-deepseek-v3-007,0,1,1,0.43137254901960786
cold_start,medical_qa_102,agent-openrouter-deepseek-v3-008,0,0,1,0.42718446601941745
cold_start,medical_qa_103,agent-openrouter-deepseek-v3-009,0,0,1,0.4230769230769231
cold_start,medical_qa_104,agent-openrouter-deepseek-v3-010,0,1,1,0.42857142857142855
cold_start,medical_qa_105,agent-openrouter-deepseek-v3-006,0,1,1,0.4339622641509434
cold_start,medical_qa_106,agent-openrouter-deepseek-v3-007,0,1,1,0.4392523364485981
cold_start,medical_qa_107,agent-openrouter-deepseek-v3-008,0,0,1,0.4351851851851852
cold_start,medical_qa_108,agent-openrouter-deepseek-v3-009,0,0,1,0.43119266055045874
cold_start,medical_qa_109,agent-openrouter-deepseek-v3-010,0,1,1,0.43636363636363634
cold_start,medical_qa_110,agent-openrouter-deepseek-v3-006,0,1,1,0.44144144144144143
cold_start,medical_qa_111,agent-openrouter-deepseek-v3-007,0,1,1,0.44642857142857145
cold_start,medical_qa_112,agent-openrouter-deepseek-v3-008,0,1,1,0.45132743362831856
cold_start,medical_qa_113,agent-openrouter-deepseek-v3-009,0,0,1,0.4473684210526316
cold_start,medical_qa_114,agent-openrouter-deepseek-v3-010,0,0,1,0.4434782608695652
cold_start,medical_qa_115,agent-openrouter-deepseek-v3-006,0,1,1,0.4482758620689655
cold_start,medical_qa_116,agent-openrouter-deepseek-v3-007,0,1,1,0.452991452991453
cold_start,medical_qa_117,agent-openrouter-deepseek-v3-008,0,0,1,0.4491525423728814
cold_start,medical_qa_118,agent-openrouter-deepseek-v3-009,0,1,1,0.453781512605042
cold_start,medical_qa_119,agent-openrouter-deepseek-v3-010,0,1,1,0.4583333333333333
cold_start,medical_qa_120,agent-openrouter-deepseek-v3-006,0,0,1,0.45454545454545453
cold_start,medical_qa_121,agent-openrouter-deepseek-v3-007,0,1,1,0.45901639344262296
cold_start,medical_qa_122,agent-openrouter-deepseek-v3-008,0,1,1,0.4634146341463415
cold_start,medical_qa_123,agent-openrouter-deepseek-v3-009,0,0,1,0.4596774193548387
cold_start,medical_qa_124,agent-openrouter-deepseek-v3-010,0,0,1,0.456
cold_start,medical_qa_125,agent-openrouter-deepseek-v3-006,0,0,1,0.4523809523809524
cold_start,medical_qa_126,agent-openrouter-deepseek-v3-007,0,0,1,0.44881889763779526
cold_start,medical_qa_127,agent-openrouter-deepseek-v3-008,0,1,1,0.453125
cold_start,medical_qa_128,agent-openrouter-deepseek-v3-009,0,1,1,0.4573643410852713
cold_start,medical_qa_129,agent-openrouter-deepseek-v3-010,0,1,1,0.46153846153846156
cold_start,medical_qa_130,agent-openrouter-deepseek-v3-006,0,1,1,0.46564885496183206
cold_start,medical_qa_131,agent-openrouter-deepseek-v3-007,0,1,1,0.4696969696969697
cold_start,medical_qa_132,agent-openrouter-deepseek-v3-008,0,1,1,0.47368421052631576
cold_start,medical_qa_133,agent-openrouter-deepseek-v3-009,0,0,1,0.4701492537313433
cold_start,medical_qa_134,agent-openrouter-deepseek-v3-010,0,0,1,0.4666666666666667
cold_start,medical_qa_135,agent-openrouter-deepseek-v3-006,0,0,1,0.4632352941176471
cold_start,medical_qa_136,agent-openrouter-deepseek-v3-007,0,0,1,0.45985401459854014
cold_start,medical_qa_137,agent-openrouter-deepseek-v3-008,0,0,1,0.45652173913043476
cold_start,medical_qa_138,agent-openrouter-deepseek-v3-009,0,1,1,0.460431654676259
cold_start,medical_qa_139,agent-openrouter-deepseek-v3-010,0,0,1,0.45714285714285713
cold_start,medical_qa_140,agent-openrouter-deepseek-v3-006,0,0,1,0.45390070921985815
cold_start,medical_qa_141,agent-openrouter-deepseek-v3-007,0,0,1,0.4507042253521127
cold_start,medical_qa_142,agent-openrouter-deepseek-v3-008,0,1,1,0.45454545454545453
cold_start,medical_qa_143,agent-openrouter-deepseek-v3-009,0,1,1,0.4583333333333333
cold_start,medical_qa_144,agent-openrouter-deepseek-v3-010,0,1,1,0.46206896551724136
cold_start,medical_qa_145,agent-openrouter-deepseek-v3-006,0,0,1,0.4589041095890411
cold_start,medical_qa_146,agent-openrouter-deepseek-v3-007,0,1,1,0.46258503401360546
cold_start,medical_qa_147,agent-openrouter-deepseek-v3-008,0,0,1,0.4594594594594595
cold_start,medical_qa_148,agent-openrouter-deepseek-v3-009,0,1,1,0.46308724832214765
cold_start,medical_qa_149,agent-openrouter-deepseek-v3-010,0,1,1,0.4666666666666667
cold_start,medical_qa_150,agent-openrouter-deepseek-v3-006,0,0,1,0.46357615894039733
cold_start,medical_qa_151,agent-openrouter-deepseek-v3-007,0,0,1,0.4605263157894737
