shock_type,shock_point,policy,n,p_hard,success_rate_pre_shock,success_rate_post_shock,success_rate_overall,success_rate_drop,recovery_time,recovery_status,deadlock_rate,worst_rolling_window,avg_latency_ms,total_cost,cost_per_correct,choose_A,choose_B,choose_C,choose_D,choose_E,choose_F,choose_G,choose_H,choose_I,choose_J,choose_A_pre,choose_B_pre,choose_C_pre,choose_D_pre,choose_E_pre,choose_F_pre,choose_G_pre,choose_H_pre,choose_I_pre,choose_J_pre,choose_A_post,choose_B_post,choose_C_post,choose_D_post,choose_E_post,choose_F_post,choose_G_post,choose_H_post,choose_I_post,choose_J_post
A_unavailable,50,static_rule,100,0.56,0.54,0.58,0.56,-0.039999999999999925,0,Recovered,0.04,0.3333333333333333,3815.064489841461,9.99999999999998,0.17857142857142821,56,44,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,0,0,0,29,21,0,0,0,0,0,0,0,0
A_unavailable,50,random,100,0.56,0.66,0.66,0.66,0.0,0,Recovered,0.04,0.3333333333333333,1570.2779173851013,30.825000000000024,0.46704545454545493,10,7,6,13,10,9,14,11,12,8,2,3,3,5,5,5,7,7,8,5,8,4,3,8,5,4,7,4,4,3
A_unavailable,50,random_topL,100,0.56,0.64,0.72,0.68,-0.07999999999999996,0,Recovered,0.02,0.0,1226.4174580574036,40.85000000000005,0.6007352941176478,11,0,0,17,14,25,0,18,15,0,5,0,0,10,3,14,0,13,5,0,6,0,0,7,11,11,0,5,10,0
A_unavailable,50,linucb,100,0.56,0.86,0.92,0.89,-0.06000000000000005,0,Recovered,0.0,0.0,1540.6005454063416,40.250000000000064,0.45224719101123667,44,0,0,25,31,0,0,0,0,0,23,0,0,15,12,0,0,0,0,0,21,0,0,10,19,0,0,0,0,0
A_unavailable,50,linucb_frozen,100,0.56,0.84,1.0,0.92,-0.16000000000000003,0,Recovered,0.0,0.0,1433.0662536621094,33.75000000000008,0.3668478260869574,44,0,0,15,41,0,0,0,0,0,23,0,0,15,12,0,0,0,0,0,21,0,0,0,29,0,0,0,0,0
